Title,Writer,Main Character,Publisher,Release Date,Description
Watchmen,Alan Moore,Various,DC Comics,1986-09-01,Set in an alternate timeline where superheroes exist; Watchmen explores the complex moral and ethical dilemmas faced by its characters in a gritty and realistic manner. This groundbreaking graphic novel deconstructs the superhero genre and examines themes of power; corruption; and the human condition.
The Dark Knight Returns,Frank Miller,Batman,DC Comics,1986-02-01,In a dystopian future; an aging Bruce Wayne dons the cape and cowl once again to save Gotham City from a new wave of crime. Frank Miller's gritty and dark portrayal of Batman revolutionized the character and became a defining moment in comic book history.
Maus,Art Spiegelman,Vladek Spiegelman,Pantheon Books,1986-09-01,Maus is a powerful and poignant graphic novel that tells the story of the Holocaust through the eyes of Art Spiegelman's father; Vladek. The use of anthropomorphic animals to represent different nationalities adds depth and symbolism to this harrowing tale of survival and the enduring effects of trauma.
Saga,Brian K. Vaughan,Hazel,Image Comics,2012-03-14,Saga is an epic space opera that follows the intergalactic love story of Alana and Marko; two soldiers from opposing sides of an interstellar war. Filled with imaginative world-building; complex characters; and thought-provoking themes; this critically acclaimed series pushes the boundaries of the genre.
Sandman,Neil Gaiman,Dream,DC Comics,1989-01-01,Sandman chronicles the journey of Dream; also known as Morpheus; the Lord of Dreams; as he navigates through the realm of dreams and interacts with various mythical and historical figures. Neil Gaiman's masterful storytelling weaves together elements of fantasy; mythology; and horror to create a rich and captivating narrative.
Preacher,Garth Ennis,Jesse Custer,Vertigo Comics,1995-04-01,Preacher follows the story of Jesse Custer; a disillusioned Texas preacher who becomes possessed by a supernatural entity. With his newfound abilities; Jesse embarks on a quest to find God and hold him accountable for the state of the world. This dark and irreverent series explores themes of faith; redemption; and the nature of good and evil.
The Infinity Gauntlet,Jim Starlin,Thanos,Marvel Comics,1991-07-10,Thanos; the Mad Titan; possesses the all-powerful Infinity Gauntlet; which grants him control over all of reality. As he seeks to impress Death by wiping out half the universe's population; Earth's mightiest heroes and cosmic beings must band together to stop him. This cosmic Marvel event showcases the epic battle between good and evil on a universal scale.
The Walking Dead,Robert Kirkman,Rick Grimes,Image Comics,2003-10-08,The Walking Dead takes place in a post-apocalyptic world overrun by zombies. It follows a group of survivors; led by former sheriff Rick Grimes; as they navigate the dangers of the undead and encounter other humans who can be just as threatening. This acclaimed series delves into the human psyche and explores the lengths people will go to in order to survive.
Batman: Year One,Frank Miller,Batman,DC Comics,1987-02-01,Batman: Year One tells the story of Bruce Wayne's first year as the Caped Crusader and Jim Gordon's early days as a Gotham City police officer. Frank Miller's gritty and realistic take on Batman's early crime-fighting career redefines the origins of the Dark Knight and sets the tone for future interpretations.
X-Men: Days of Future Past,Chris Claremont,Wolverine,Marvel Comics,1981-01-10,In a dystopian future; mutants are hunted down by Sentinels; giant robots created to eliminate them. The X-Men must send Wolverine's consciousness back in time to prevent the events that led to this apocalyptic future. This classic X-Men storyline explores themes of prejudice; sacrifice; and the ripple effects of choices made.
